,Unnamed: 0,file,start_time,end_time,participant,ground_truth,ground_truth_cleaned,Whisper_tiny,ground_truth_translated,Whisper_large_translated,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,Sent2Vec
0,14218,D0066_A,1260.83,1274.98,66.0,然后是回到家乡的话呢，它是类似于做更全面的一种I/b做I T岗就什么都可能会去做这样子，不是很明确什么技术方向。,然后是回到家乡的话呢，它是类似于做更全面的一种I做I T岗就什么都可能会去做这样子，不是很明确什么技术方向。,然後是回到家鄉的話呢他是類似於做更全面的一種愛提感就什麼都可能會去做這樣子我真的很明確什麼技術方向,"Then, talking about returning to the hometown, it's like doing a more comprehensive type of I doing I T post where anything might be done, it's not very clear what technical direction.","Then, if we talk about returning to the hometown, it's like doing a more comprehensive IT job, anything could be done, and the technology direction is not very clear.",0.5,0.41847826086956524,0.545433392807479,0.27652161178968215,0.2674331808090123,0.9952296614646912,0.08056765794754028
1,6679,D0032_A,820.83,828.14,32.0,还是/p[还是]相对比较友好的，他也不会说刻意说你，哎你[你]现在就有这个毛病怎么怎么样的，但是。,还是相对比较友好的，他也不会说刻意说你，哎你现在就有这个毛病怎么怎么样的，但是。,还是相对比较有好他也不会说可以说你按一下现在就这个毛病怎么样当然,"It's still relatively friendly, he won't deliberately say to you, ""Hey, you have this problem now, so and so"", but.","Still, it is relatively friendly. He won't say, you can say, hey, you have this problem now, how is it? But",0.59375,0.3739130434782609,0.41908960673608375,0.2814372733461354,0.2804327816290929,0.9908936619758606,0.020322024822235107
2,6657,D0032_A,647.7,651.32,32.0,这个语言方面的培养啊，包括这个陪伴相对会少一些。,这个语言方面的培养啊，包括这个陪伴相对会少一些。,这个鱼要方面的培养啊包括这个培养相对会少一件,"The cultivation in terms of language, including the companionship, will be relatively less.",This language training includes less of this companionship,0.9375,0.7142857142857143,1.9341830250817628e-78,0.36570936779270113,0.29626652451388724,0.9369124174118042,0.09719765186309814
3,5300,D0027_A,579.13,591.27,27.0,直接就回家了，我也没有参加什么，就是他体检的时候也没有考这个口不口吃这一项，也没有让你念一段文字什么的，这个事儿就这么过去了，嗯/i。,直接就回家了，我也没有参加什么，就是他体检的时候也没有考这个口不口吃这一项，也没有让你念一段文字什么的，这个事儿就这么过去了，。,直接就回家了我也没有参加什么大家体现的时候也没有考虑口罗实际下也没有让你你也认为文字什么的就是这么过去了,"I just went home directly, I didn't participate in anything, even when he was having a physical examination, he didn't test for stuttering, nor did he ask you to read a paragraph or anything, and the matter just passed like this,.","I went straight home and didn't participate in anything. Even during his physical examination, there was no such item as taking or not taking a test, and no one asked you to read a passage or anything. This matter just passed like that.",0.6538461538461539,0.44782608695652176,0.44169633109156875,0.26369254631825534,0.25970099539684205,0.9949520230293274,0.037434279918670654
4,12170,D0057_A,270.29,275.29,57.0,然后但是<overlap>他[他]论文没有出多久就被证伪了，在他。,然后但是<overlap>他论文没有出多久就被证伪了，在他。,然后单于他论文没有出多少小就被证委了在他,"Then, however, <overlap> his paper was debunked not long after it was published, in his.","Then, however, his paper was debunked not long after it was published by him",0.3333333333333333,0.17045454545454544,0.6838007999248003,0.36537366954033607,0.35373872455405386,0.9945659041404724,0.039951980113983154
5,1142,D0006_A,780.79,791.44,6.0,嗯/i，有[有有]，但[但]是我们会非常，对非常那种一个正[正正]式吧，就是会跟他。,，有，但是我们会非常，对非常那种一个正式吧，就是会跟他。,"有,但是我們會非常有一個正式吧,就是會跟他",", Yes, but we will be very, towards that very kind of a formal one, that is, we will follow him.","Yes, yes, yes, but we will be very formal, that is, we will follow him",0.5,0.4479166666666667,0.5411165587459025,0.3147071097690291,0.30192176639514057,0.9904938340187073,0.04173862934112549
6,5158,D0026_A,1585.7559158091306,1595.26,26.0,拒/b绝但有时也会出现不得不给客户打电话的情况，然后我当时呃/i是因为我同事想在旁边指/b[指]导我怎么跟[跟跟]他们打。,拒绝但有时也会出现不得不给客户打电话的情况，然后我当时是因为我同事想在旁边指导我怎么跟他们打。,"據覺,但有些有些出現不得不給客戶打電話的情況然後我當時是因為我同時想在旁邊直到我怎麼跟他們打","Refuse but sometimes there will be situations where you have to call the customer, and then at that time it was because my colleague wanted to guide me on how to call them.","But sometimes there are situations where I have to make phone calls to customers, and at that time it was because my colleague wanted to guide me on how to call them",0.34285714285714286,0.22093023255813954,0.6990403797901825,0.2980450854333003,0.2293780085347276,0.9965872168540955,0.013584494590759277
7,6389,D0031_A,1436.89,1438.1,31.0,呃/i/p。,。,喔 喔,.,Uh,1.0,2.0,0.0,0.0,0.0,0.0,0.04569369554519653
8,12889,D0060_A,265.39,274.8,60.0,呃/i用一种那个别样的眼光，就是估计他那个心里*就想，咦这个[这个]医生怎么[怎么怎么怎么]说话还结巴。,用一种那个别样的眼光，就是估计他那个心里*就想，咦这个医生怎么说话还结巴。,用一种别样的眼光就是不知它的心理得去想也这个医生怎么怎么说啊 还接吧,"With a kind of different perspective, it is estimated that he is thinking in his mind, huh, why does this doctor stammer when he speaks.","Viewing it in a different way is guessing what he is thinking, like how this doctor speaks with a stutter.",0.6896551724137931,0.5441176470588235,0.2678221782165547,0.3292972246070052,0.24184604353870284,0.991808295249939,0.057157933712005615
9,7118,D0034_A,631.69,642.47,34.0,然后我呢给相对于其他人就是/p背单词背课文的能/b力就会差非常多。,然后我呢给相对于其他人就是背单词背课文的能力就会差非常多。,然后我能给相对于其他人就是被单词被课门的能力就会差非常多,Then my ability to memorize words and texts compared to others will be much worse.,Then my ability to memorize words and texts compared to others will be much worse,0.0625,0.012195121951219513,0.9661049965255963,0.3979686979686979,0.32653193449343365,0.9988802671432495,0.0043950676918029785
